actor,atk_margin,atk_overflow,atk_roll,atk_skill_before,atk_skill_gain,atk_xp,combat,def_margin,def_overflow,def_roll,def_skill_before,def_skill_gain,def_xp,defender,effect,effect_mag_after_ad,effect_tier,exchange,hp_after_actor,hp_after_defender,hp_damage,location_index,outcome,skill,tag_check,zone
Beta,,13,93,30,2,63,173,,41,91,36,1,55,Alpha,Prone,,,48,526,236,,,repeat,Trip,,
Beta,21,0,5,26,0,0,173,34,0,3,37,0,0,Alpha,Disarm,,,49,526,236,,,defender-wins,Disarm,,
Beta,,0,59,27,1,32,173,,0,91,37,1,54,Alpha,Equipment Damage,,,50,526,236,,,repeat,Equipment Damage,,
Alpha,,0,32,26,0,6,173,36,0,4,40,0,0,Beta,Inflict Injury,,,51,236,526,,,defender-wins,Attack,,
Alpha,,0,62,29,1,33,173,,0,65,40,0,25,Beta,Grappled,,,52,236,526,,,repeat,Grapple,,
Alpha,,0,45,29,0,16,173,20,0,20,40,0,0,Beta,Prone,,,53,236,526,,,defender-wins,Trip,,
Alpha,,24,91,29,2,62,173,20,0,20,40,0,0,Beta,Disarm,,,54,212,526,,,defender-wins,Disarm,,
Alpha,,49,99,29,2,70,173,32,0,8,40,0,0,Beta,Equipment Damage,,,55,163,526,,,defender-wins,Equipment Damage,,
Beta,24,0,3,27,0,0,173,,47,97,38,1,59,Alpha,Inflict Injury,,,56,526,92,24,,attacker-wins,Attack,,
Beta,,0,98,27,2,71,173,,45,95,39,1,56,Alpha,Grappled,,,57,526,47,,,repeat,Grapple,,
Beta,,0,67,32,1,35,173,,0,42,40,0,2,Alpha,Prone,,,58,526,47,,,repeat,Trip,,
Beta,,0,52,26,1,26,173,32,0,8,40,0,0,Alpha,Disarm,,,59,526,47,,,defender-wins,Disarm,,
Beta,,0,82,28,1,54,173,9,0,31,40,0,0,Alpha,Equipment Damage,,,60,526,47,,,defender-wins,Equipment Damage,,
Alpha,25,0,1,26,0,0,173,24,0,16,40,0,0,Beta,Inflict Injury,,,61,47,525,1,,attacker-wins,Attack,,
Alpha,,0,45,30,0,15,173,25,0,15,40,0,0,Beta,Grappled,,,62,47,525,,,defender-wins,Grapple,,
Alpha,,0,55,29,0,26,173,,0,70,40,0,30,Beta,Prone,,,63,47,525,,,repeat,Trip,,
Alpha,,0,33,31,0,2,173,,0,42,40,0,2,Beta,Disarm,,,64,47,525,,,repeat,Disarm,,
Alpha,,0,36,31,0,5,173,,0,92,40,1,52,Beta,Equipment Damage,,,65,47,525,,,repeat,Equipment Damage,,
Beta,4,0,23,27,0,0,173,,0,67,40,0,27,Alpha,Inflict Injury,,,66,525,43,4,,attacker-wins,Attack,,
Beta,,0,32,29,0,3,173,29,0,11,40,0,0,Alpha,Grappled,,,67,525,43,,,defender-wins,Grapple,,
Beta,29,0,4,33,0,0,173,21,0,19,40,0,0,Alpha,Prone,1,2,68,525,43,,40,attacker-wins,Trip,pass,Torso
Beta,,0,66,27,1,39,173,7,0,33,40,0,0,Alpha,Disarm,,,69,525,43,,,defender-wins,Disarm,,
Beta,18,0,11,29,0,0,173,,0,80,40,1,40,Alpha,Equipment Damage,,2,70,525,25,18,11,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Alpha,,0,99,26,2,73,173,,0,78,41,0,37,Beta,Inflict Injury,,,71,25,525,,,repeat,Attack,,
Alpha,,15,86,30,1,56,173,,0,56,41,0,15,Beta,Grappled,,,72,10,525,,,repeat,Grapple,,
Alpha,,10,60,29,1,31,173,29,0,12,41,0,0,Beta,Prone,,,73,0,525,,,defender-wins,Trip,,
Alpha,19,0,6,25,0,0,174,,0,91,25,2,66,Beta,Inflict Injury,,,1,600,581,19,,attacker-wins,Attack,,
Alpha,,0,73,25,1,48,174,,0,59,27,1,32,Beta,Grappled,,,2,600,581,,,repeat,Grapple,,
Alpha,,0,77,25,2,52,174,,0,29,28,0,1,Beta,Prone,,,3,600,581,,,repeat,Trip,,
Alpha,,0,78,25,2,53,174,,0,38,28,0,10,Beta,Disarm,,,4,600,581,,,repeat,Disarm,,
Alpha,,0,51,25,1,26,174,,0,94,28,2,66,Beta,Equipment Damage,,,5,600,581,,,repeat,Equipment Damage,,
Beta,,0,68,25,1,43,174,,0,31,25,0,6,Alpha,Inflict Injury,,,6,581,600,,,repeat,Attack,,
Beta,,17,88,25,2,63,174,,0,87,25,2,62,Alpha,Grappled,,,7,564,600,,,repeat,Grapple,,
Beta,14,0,11,25,0,0,174,18,0,9,27,0,0,Alpha,Prone,,,8,564,600,,,defender-wins,Trip,,
Beta,,0,37,25,0,12,174,,0,50,27,0,23,Alpha,Disarm,,,9,564,600,,,repeat,Disarm,,
Beta,,0,61,25,1,36,174,,0,53,27,0,26,Alpha,Equipment Damage,,,10,564,600,,,repeat,Equipment Damage,,
Alpha,,0,38,25,0,13,174,,0,79,30,1,49,Beta,Inflict Injury,,,11,600,564,,,repeat,Attack,,
Alpha,,0,98,26,2,72,174,,19,81,31,1,50,Beta,Grappled,,,12,600,545,,,repeat,Grapple,,
Alpha,,10,65,27,1,38,174,18,0,14,32,0,0,Beta,Prone,,,13,590,545,,,defender-wins,Trip,,
Alpha,,48,98,27,2,71,174,,0,80,32,1,48,Beta,Disarm,,,14,542,545,,,repeat,Disarm,,
Alpha,11,0,15,26,0,0,174,31,0,2,33,0,0,Beta,Equipment Damage,,,15,542,545,,,defender-wins,Equipment Damage,,
Beta,,0,74,26,1,48,174,,0,30,27,0,3,Alpha,Inflict Injury,,,16,545,542,,,repeat,Attack,,
Beta,,0,61,27,1,34,174,,0,79,27,1,52,Alpha,Grappled,,,17,545,542,,,repeat,Grapple,,
Beta,16,0,9,25,0,0,174,,0,39,28,0,11,Alpha,Prone,1,2,18,545,542,,90,attacker-wins,Trip,pass,Head
Beta,,0,41,25,0,16,174,,6,93,28,2,65,Alpha,Disarm,,,19,545,536,,,repeat,Disarm,,
Beta,8,0,18,26,0,0,174,,10,60,30,1,30,Alpha,Equipment Damage,,2,20,545,518,8,81,attacker-wins,Equipment Damage,fail-and-fall-back,Head
Alpha,,0,30,25,0,5,174,,0,80,33,1,47,Beta,Inflict Injury,,,21,518,545,,,repeat,Attack,,
Alpha,,0,57,28,1,29,174,24,0,10,34,0,0,Beta,Grappled,,,22,518,545,,,defender-wins,Grapple,,
Alpha,,0,55,28,0,27,174,3,0,31,34,0,0,Beta,Prone,,,23,518,545,,,defender-wins,Trip,,
Alpha,13,0,16,29,0,0,174,5,0,29,34,0,0,Beta,Disarm,1,2,24,518,545,,61,attacker-wins,Disarm,pass,Arms
Alpha,,0,58,26,1,32,174,,0,75,34,1,41,Beta,Equipment Damage,,,25,518,545,,,repeat,Equipment Damage,,
Beta,,0,46,27,0,19,174,,12,96,31,2,65,Alpha,Inflict Injury,,,26,545,506,,,repeat,Attack,,
Beta,,0,37,28,0,9,174,15,0,18,33,0,0,Alpha,Grappled,,,27,545,506,,,defender-wins,Grapple,,
Beta,,0,78,25,2,53,174,,4,86,33,1,53,Alpha,Prone,,,28,545,502,,,repeat,Trip,,
Beta,,0,52,25,1,27,174,28,0,6,34,0,0,Alpha,Disarm,,,29,545,502,,,defender-wins,Disarm,,
Beta,,0,59,26,1,33,174,,0,62,34,0,28,Alpha,Equipment Damage,,,30,545,502,,,repeat,Equipment Damage,,
Alpha,,0,39,25,0,14,174,12,0,23,35,0,0,Beta,Inflict Injury,,,31,502,545,,,defender-wins,Attack,,
Alpha,,0,38,29,0,9,174,,0,93,35,1,58,Beta,Grappled,,,32,502,545,,,repeat,Grapple,,
Alpha,,0,99,28,2,71,174,,0,59,36,0,23,Beta,Prone,,,33,502,545,,,repeat,Trip,,
Alpha,,42,98,29,2,69,174,,4,82,36,1,46,Beta,Disarm,,,34,460,541,,,repeat,Disarm,,
Alpha,1,0,26,27,0,0,174,,35,85,37,1,48,Beta,Equipment Damage,,2,35,460,505,1,62,attacker-wins,Equipment Damage,fail-and-fall-back,Arms
Beta,,14,64,27,1,37,174,33,0,1,34,0,0,Alpha,Inflict Injury,,,36,491,460,,,defender-wins,Attack,,
Beta,,0,34,28,0,6,174,,0,83,34,1,49,Alpha,Grappled,,,37,491,460,,,repeat,Grapple,,
Beta,,19,85,27,2,58,174,,0,81,35,1,46,Alpha,Prone,,,38,472,460,,,repeat,Trip,,
Beta,,42,92,26,2,66,174,,23,82,36,1,46,Alpha,Disarm,,,39,430,437,,,repeat,Disarm,,
Beta,,33,83,27,2,56,174,,8,58,37,0,21,Alpha,Equipment Damage,,,40,397,429,,,repeat,Equipment Damage,,
Alpha,,7,57,25,1,32,174,,21,71,38,0,33,Beta,Inflict Injury,,,41,422,376,,,repeat,Attack,,
Alpha,,2,52,29,0,23,174,,0,40,38,0,2,Beta,Grappled,,,42,420,376,,,repeat,Grapple,,
Alpha,,16,66,30,1,36,174,2,0,36,38,0,0,Beta,Prone,,,43,404,376,,,defender-wins,Trip,,
Alpha,,0,38,31,0,7,174,,0,59,38,0,21,Beta,Disarm,,,44,404,376,,,repeat,Disarm,,
Alpha,,20,82,27,2,55,174,20,0,18,38,0,0,Beta,Equipment Damage,,,45,384,376,,,defender-wins,Equipment Damage,,
Beta,20,0,8,28,0,0,174,19,0,18,37,0,0,Alpha,Inflict Injury,,,46,376,383,1,,attacker-wins,Attack,,
Beta,,0,94,28,2,66,174,,0,39,37,0,2,Alpha,Grappled,,,47,376,383,,,repeat,Grapple,,
Beta,,0,75,29,1,46,174,,0,72,37,0,35,Alpha,Prone,,,48,376,383,,,repeat,Trip,,
Beta,,1,71,28,1,43,174,,11,82,37,1,45,Alpha,Disarm,,,49,375,372,,,repeat,Disarm,,
Beta,,42,92,29,2,63,174,36,0,2,38,0,0,Alpha,Equipment Damage,,,50,333,372,,,defender-wins,Equipment Damage,,
Alpha,,0,64,26,1,38,174,,42,92,38,1,54,Beta,Inflict Injury,,,51,372,291,,,repeat,Attack,,
Alpha,,0,61,29,1,32,174,,27,77,39,0,38,Beta,Grappled,,,52,372,264,,,repeat,Grapple,,
Alpha,8,0,23,31,0,0,174,,8,58,39,0,19,Beta,Prone,1,2,53,372,256,,32,attacker-wins,Trip,pass,Torso
Alpha,,0,44,31,0,13,174,,0,45,39,0,6,Beta,Disarm,,,54,372,256,,,repeat,Disarm,,
Alpha,13,0,16,29,0,0,174,14,0,25,39,0,0,Beta,Equipment Damage,,,55,372,256,,,defender-wins,Equipment Damage,,
Beta,,0,38,28,0,10,174,34,0,4,38,0,0,Alpha,Inflict Injury,,,56,256,372,,,defender-wins,Attack,,
Beta,4,0,26,30,0,0,174,0,0,38,38,0,0,Alpha,Grappled,1,2,57,256,372,,62,attacker-wins,Grapple,pass,Arms
Beta,,0,49,30,0,19,174,,0,93,38,1,55,Alpha,Prone,,,58,256,372,,,repeat,Trip,,
Beta,0,0,29,29,0,0,174,,0,59,39,0,20,Alpha,Disarm,,2,59,256,372,0,92,attacker-wins,Disarm,fail-and-fall-back,Head
Beta,,0,37,31,0,6,174,15,0,24,39,0,0,Alpha,Equipment Damage,,,60,256,372,,,defender-wins,Equipment Damage,,
Alpha,24,0,3,27,0,0,174,20,0,19,39,0,0,Beta,Inflict Injury,,,61,372,252,4,,attacker-wins,Attack,,
Alpha,,0,48,30,0,18,174,6,0,33,39,0,0,Beta,Grappled,,,62,372,252,,,defender-wins,Grapple,,
Alpha,,0,98,31,2,67,174,18,0,21,39,0,0,Beta,Prone,,,63,372,252,,,defender-wins,Trip,,
Alpha,,0,80,31,1,49,174,,0,72,39,0,33,Beta,Disarm,,,64,372,252,,,repeat,Disarm,,
Alpha,19,0,10,29,0,0,174,22,0,17,39,0,0,Beta,Equipment Damage,,,65,372,252,,,defender-wins,Equipment Damage,,
Beta,19,0,9,28,0,0,174,,0,53,39,0,14,Alpha,Inflict Injury,,,66,252,353,19,,attacker-wins,Attack,,
Beta,5,0,25,30,0,0,174,36,0,3,39,0,0,Alpha,Grappled,,,67,252,353,,,defender-wins,Grapple,,
Beta,,0,65,30,1,35,174,,0,93,39,1,54,Alpha,Prone,,,68,252,353,,,repeat,Trip,,
Beta,,0,41,29,0,12,174,1,0,39,40,0,0,Alpha,Disarm,,,69,252,353,,,defender-wins,Disarm,,
Beta,21,0,10,31,0,0,174,7,0,33,40,0,0,Alpha,Equipment Damage,,2,70,252,339,14,1,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Alpha,,0,93,27,2,66,174,,0,74,39,0,35,Beta,Inflict Injury,,,71,339,252,,,repeat,Attack,,
Alpha,,0,64,30,1,34,174,,0,53,39,0,14,Beta,Grappled,,,72,339,252,,,repeat,Grapple,,
Alpha,,3,81,33,1,48,174,29,0,10,39,0,0,Beta,Prone,,,73,336,252,,,defender-wins,Trip,,
Alpha,,0,43,32,0,11,174,,0,100,39,1,61,Beta,Disarm,,,74,336,252,,,repeat,Disarm,,
Alpha,3,0,26,29,0,0,174,29,0,11,40,0,0,Beta,Equipment Damage,,,75,336,252,,,defender-wins,Equipment Damage,,
Beta,,0,66,28,1,38,174,,0,53,40,0,13,Alpha,Inflict Injury,,,76,252,336,,,repeat,Attack,,
Beta,,0,35,30,0,5,174,,11,89,40,1,49,Alpha,Grappled,,,77,252,325,,,repeat,Grapple,,
Beta,,0,62,31,1,31,174,13,0,28,41,0,0,Alpha,Prone,,,78,252,325,,,defender-wins,Trip,,
Beta,3,0,26,29,0,0,174,35,0,6,41,0,0,Alpha,Disarm,,,79,252,325,,,defender-wins,Disarm,,
Beta,,0,74,31,1,43,174,,0,56,41,0,15,Alpha,Equipment Damage,,,80,252,325,,,repeat,Equipment Damage,,
Alpha,,0,30,29,0,1,174,17,0,23,40,0,0,Beta,Inflict Injury,,,81,325,252,,,defender-wins,Attack,,
Alpha,,0,59,31,0,28,174,,0,95,40,1,55,Beta,Grappled,,,82,325,252,,,repeat,Grapple,,
Alpha,,0,35,34,0,1,174,19,0,22,41,0,0,Beta,Prone,,,83,325,252,,,defender-wins,Trip,,
Alpha,,0,84,32,1,52,174,34,0,7,41,0,0,Beta,Disarm,,,84,325,252,,,defender-wins,Disarm,,
Alpha,,0,81,29,1,52,174,4,0,37,41,0,0,Beta,Equipment Damage,,,85,325,252,,,defender-wins,Equipment Damage,,
Beta,,0,41,29,0,12,174,,12,83,41,1,42,Alpha,Inflict Injury,,,86,252,313,,,repeat,Attack,,
Beta,,0,59,30,0,29,174,,24,74,42,0,32,Alpha,Grappled,,,87,252,289,,,repeat,Grapple,,
Beta,,0,92,32,1,60,174,,3,53,42,0,11,Alpha,Prone,,,88,252,286,,,repeat,Trip,,
Beta,,0,37,29,0,8,174,6,0,36,42,0,0,Alpha,Disarm,,,89,252,286,,,defender-wins,Disarm,,
Beta,,0,74,32,1,42,174,,0,44,42,0,2,Alpha,Equipment Damage,,,90,252,286,,,repeat,Equipment Damage,,
Alpha,11,0,18,29,0,0,174,21,0,20,41,0,0,Beta,Inflict Injury,,,91,286,252,,,defender-wins,Attack,,
Alpha,,0,56,31,0,25,174,,0,77,41,0,36,Beta,Grappled,,,92,286,252,,,repeat,Grapple,,
Alpha,,0,73,34,1,39,174,15,0,26,41,0,0,Beta,Prone,,,93,286,252,,,defender-wins,Trip,,
Alpha,11,0,22,33,0,0,174,,0,73,41,0,32,Beta,Disarm,,2,94,286,241,11,22,attacker-wins,Disarm,fail-and-fall-back,Legs
Alpha,17,0,13,30,0,0,174,40,0,1,41,0,0,Beta,Equipment Damage,,,95,286,241,,,defender-wins,Equipment Damage,,
Beta,,0,71,29,1,42,174,16,0,26,42,0,0,Alpha,Inflict Injury,,,96,241,286,,,defender-wins,Attack,,
Beta,,0,91,30,2,61,174,,0,88,42,1,46,Alpha,Grappled,,,97,241,286,,,repeat,Grapple,,
Beta,,0,45,33,0,12,174,,0,92,43,1,49,Alpha,Prone,,,98,241,286,,,repeat,Trip,,
Beta,,9,93,29,2,64,174,36,0,8,44,0,0,Alpha,Disarm,,,99,232,286,,,defender-wins,Disarm,,
Beta,,0,36,33,0,3,174,43,0,1,44,0,0,Alpha,Equipment Damage,,,100,232,286,,,defender-wins,Equipment Damage,,
Alpha,,0,53,29,0,24,174,21,0,20,41,0,0,Beta,Inflict Injury,,,101,286,232,,,defender-wins,Attack,,
Alpha,,0,81,31,1,50,174,,0,75,41,0,34,Beta,Grappled,,,102,286,232,,,repeat,Grapple,,
Alpha,,0,42,35,0,7,174,,0,49,41,0,8,Beta,Prone,,,103,286,232,,,repeat,Trip,,
Alpha,,0,85,33,1,52,174,9,0,32,41,0,0,Beta,Disarm,,,104,286,232,,,defender-wins,Disarm,,
Alpha,,0,77,30,1,47,174,13,0,28,41,0,0,Beta,Equipment Damage,,,105,286,232,,,defender-wins,Equipment Damage,,
Beta,,0,85,30,1,55,174,38,0,6,44,0,0,Alpha,Inflict Injury,,,106,232,286,,,defender-wins,Attack,,
Beta,,0,74,32,1,42,174,17,0,27,44,0,0,Alpha,Grappled,,,107,232,286,,,defender-wins,Grapple,,
Beta,,47,98,33,1,65,174,,0,85,44,0,41,Alpha,Prone,,,108,185,286,,,repeat,Trip,,
Beta,,0,50,31,0,19,174,32,0,12,44,0,0,Alpha,Disarm,,,109,185,286,,,defender-wins,Disarm,,
Beta,,27,77,33,1,44,174,32,0,12,44,0,0,Alpha,Equipment Damage,,,110,158,286,,,defender-wins,Equipment Damage,,
Alpha,11,0,18,29,0,0,174,,40,90,41,1,49,Beta,Inflict Injury,,,111,286,107,11,,attacker-wins,Attack,,
Alpha,16,0,16,32,0,0,174,6,0,36,42,0,0,Beta,Grappled,1,2,112,286,107,,61,attacker-wins,Grapple,pass,Arms
Alpha,14,0,21,35,0,0,174,,0,55,42,0,13,Beta,Prone,1,2,113,286,107,,12,attacker-wins,Trip,pass,Legs
Alpha,16,0,18,34,0,0,174,,22,81,42,0,39,Beta,Disarm,,2,114,286,69,16,81,attacker-wins,Disarm,fail-and-fall-back,Head
Alpha,5,0,26,31,0,0,174,,0,50,42,0,8,Beta,Equipment Damage,,2,115,286,64,5,62,attacker-wins,Equipment Damage,fail-and-fall-back,Arms
Beta,,0,35,31,0,4,174,,0,52,44,0,8,Alpha,Inflict Injury,,,116,64,286,,,repeat,Attack,,
Beta,29,0,4,33,0,0,174,2,0,42,44,0,0,Alpha,Grappled,1,2,117,64,286,,40,attacker-wins,Grapple,pass,Torso
Beta,12,0,22,34,0,0,174,,0,57,44,0,13,Alpha,Prone,1,2,118,64,286,,22,attacker-wins,Trip,pass,Legs
Beta,,0,88,31,1,57,174,,0,59,44,0,15,Alpha,Disarm,,,119,64,286,,,repeat,Disarm,,
Beta,30,0,4,34,0,0,174,,0,52,44,0,8,Alpha,Equipment Damage,1,2,120,64,286,,40,attacker-wins,Equipment Damage,pass,Torso
Alpha,,0,48,29,0,19,174,,0,80,42,0,38,Beta,Inflict Injury,,,121,286,64,,,repeat,Attack,,
Alpha,,0,41,32,0,9,174,,0,76,42,0,34,Beta,Grappled,,,122,286,64,,,repeat,Grapple,,
Alpha,5,0,30,35,0,0,174,10,0,32,42,0,0,Beta,Prone,,,123,286,64,,,defender-wins,Trip,,
Alpha,,0,75,34,1,41,174,,0,63,42,0,21,Beta,Disarm,,,124,286,64,,,repeat,Disarm,,
Alpha,0,0,31,31,0,0,174,40,0,2,42,0,0,Beta,Equipment Damage,,,125,286,64,,,defender-wins,Equipment Damage,,
Beta,,0,77,31,1,46,174,,0,51,44,0,7,Alpha,Inflict Injury,,,126,64,286,,,repeat,Attack,,
Beta,26,0,7,33,0,0,174,19,0,25,44,0,0,Alpha,Grappled,1,2,127,64,286,,70,attacker-wins,Grapple,pass,Arms
Beta,18,0,16,34,0,0,174,,0,77,44,0,33,Alpha,Prone,1,2,128,64,286,,61,attacker-wins,Trip,pass,Arms
Beta,15,0,17,32,0,0,174,,0,62,44,0,18,Alpha,Disarm,1,2,129,64,286,,71,attacker-wins,Disarm,pass,Arms
Beta,,0,38,34,0,4,174,9,0,35,44,0,0,Alpha,Equipment Damage,,,130,64,286,,,defender-wins,Equipment Damage,,
Alpha,,0,50,29,0,21,174,,0,93,42,1,51,Beta,Inflict Injury,,,131,286,64,,,repeat,Attack,,
Alpha,,0,68,32,1,36,174,,0,46,43,0,3,Beta,Grappled,,,132,286,64,,,repeat,Grapple,,
Alpha,,0,65,35,0,30,174,12,0,31,43,0,0,Beta,Prone,,,133,286,64,,,defender-wins,Trip,,
Alpha,,0,41,35,0,6,174,,0,96,43,1,53,Beta,Disarm,,,134,286,64,,,repeat,Disarm,,
Alpha,,0,51,31,0,20,174,,14,98,44,1,54,Beta,Equipment Damage,,,135,286,50,,,repeat,Equipment Damage,,
Beta,9,0,23,32,0,0,174,7,0,37,44,0,0,Alpha,Inflict Injury,,,136,50,284,2,,attacker-wins,Attack,,
Beta,29,0,4,33,0,0,174,,0,57,44,0,13,Alpha,Grappled,1,2,137,50,284,,40,attacker-wins,Grapple,pass,Torso
Beta,25,0,9,34,0,0,174,,0,78,44,0,34,Alpha,Prone,1,2,138,50,284,,90,attacker-wins,Trip,pass,Head
Beta,17,0,15,32,0,0,174,41,0,3,44,0,0,Alpha,Disarm,,,139,50,284,,,defender-wins,Disarm,,
Beta,,0,74,34,1,40,174,2,0,42,44,0,0,Alpha,Equipment Damage,,,140,50,284,,,defender-wins,Equipment Damage,,
Alpha,,0,80,29,1,51,174,18,0,27,45,0,0,Beta,Inflict Injury,,,141,284,50,,,defender-wins,Attack,,
Alpha,,0,45,33,0,12,174,1,0,44,45,0,0,Beta,Grappled,,,142,284,50,,,defender-wins,Grapple,,
Alpha,,0,37,35,0,2,174,14,0,31,45,0,0,Beta,Prone,,,143,284,50,,,defender-wins,Trip,,
Alpha,26,0,9,35,0,0,174,38,0,7,45,0,0,Beta,Disarm,,,144,284,50,,,defender-wins,Disarm,,
Alpha,,0,94,31,2,63,174,,0,91,45,1,46,Beta,Equipment Damage,,,145,284,50,,,repeat,Equipment Damage,,
Beta,,0,95,32,1,63,174,6,0,38,44,0,0,Alpha,Inflict Injury,,,146,50,284,,,defender-wins,Attack,,
Beta,,0,59,33,0,26,174,,0,89,44,1,45,Alpha,Grappled,,,147,50,284,,,repeat,Grapple,,
Beta,,18,73,34,1,39,174,,0,72,45,0,27,Alpha,Prone,,,148,32,284,,,repeat,Trip,,
Beta,23,0,9,32,0,0,174,,30,87,45,0,42,Alpha,Disarm,,2,149,32,231,23,90,attacker-wins,Disarm,fail-and-fall-back,Head
Beta,,0,66,35,0,31,174,3,0,42,45,0,0,Alpha,Equipment Damage,,,150,32,231,,,defender-wins,Equipment Damage,,
Alpha,14,0,16,30,0,0,174,,0,61,46,0,15,Beta,Inflict Injury,,,151,231,18,14,,attacker-wins,Attack,,
Alpha,,0,85,33,1,52,174,27,0,19,46,0,0,Beta,Grappled,,,152,231,18,,,defender-wins,Grapple,,
Alpha,25,0,10,35,0,0,174,,0,79,46,0,33,Beta,Prone,1,2,153,231,18,,1,attacker-wins,Trip,pass,Legs
Alpha,21,0,14,35,0,0,174,,0,53,46,0,7,Beta,Disarm,,2,154,231,-3,21,41,attacker-wins,Disarm,fail-and-fall-back,Torso
Alpha,,0,81,25,2,56,175,,0,61,25,1,36,Beta,Inflict Injury,,,1,600,600,,,repeat,Attack,,
Alpha,,0,58,25,1,33,175,16,0,10,26,0,0,Beta,Grappled,,,2,600,600,,,defender-wins,Grapple,,
Alpha,,0,56,25,1,31,175,,0,31,26,0,5,Beta,Prone,,,3,600,600,,,repeat,Trip,,
Alpha,,0,57,25,1,32,175,,0,98,26,2,72,Beta,Disarm,,,4,600,600,,,repeat,Disarm,,
Alpha,,0,74,25,1,49,175,7,0,21,28,0,0,Beta,Equipment Damage,,,5,600,600,,,defender-wins,Equipment Damage,,
Beta,,0,29,25,0,4,175,,4,78,25,2,53,Alpha,Inflict Injury,,,6,600,596,,,repeat,Attack,,
Beta,2,0,23,25,0,0,175,12,0,15,27,0,0,Alpha,Grappled,,,7,600,596,,,defender-wins,Grapple,,
Beta,,0,66,25,1,41,175,,0,75,27,1,48,Alpha,Prone,,,8,600,596,,,repeat,Trip,,
Beta,,0,52,25,1,27,175,,0,36,28,0,8,Alpha,Disarm,,,9,600,596,,,repeat,Disarm,,
Beta,,0,83,25,2,58,175,,0,73,28,1,45,Alpha,Equipment Damage,,,10,600,596,,,repeat,Equipment Damage,,
Alpha,21,0,6,27,0,0,175,,0,85,28,2,57,Beta,Inflict Injury,,,11,596,579,21,,attacker-wins,Attack,,
Alpha,,0,95,26,2,69,175,,30,94,30,2,64,Beta,Grappled,,,12,596,549,,,repeat,Grapple,,
Alpha,,23,73,26,1,47,175,,22,72,32,1,40,Beta,Prone,,,13,573,527,,,repeat,Trip,,
Alpha,,22,72,26,1,46,175,7,0,26,33,0,0,Beta,Disarm,,,14,551,527,,,defender-wins,Disarm,,
Alpha,,47,97,26,2,71,175,,0,58,33,0,25,Beta,Equipment Damage,,,15,504,527,,,repeat,Equipment Damage,,
Beta,,18,84,25,2,59,175,,0,43,29,0,14,Alpha,Inflict Injury,,,16,509,504,,,repeat,Attack,,
Beta,,50,100,25,2,75,175,,10,67,29,1,38,Alpha,Grappled,,,17,459,494,,,repeat,Grapple,,
Beta,,0,35,26,0,9,175,3,0,27,30,0,0,Alpha,Prone,,,18,459,494,,,defender-wins,Trip,,
Beta,,0,40,26,0,14,175,22,0,8,30,0,0,Alpha,Disarm,,,19,459,494,,,defender-wins,Disarm,,
Beta,,0,51,27,0,24,175,20,0,10,30,0,0,Alpha,Equipment Damage,,,20,459,494,,,defender-wins,Equipment Damage,,
Alpha,,0,40,27,0,13,175,,0,56,33,0,23,Beta,Inflict Injury,,,21,494,459,,,repeat,Attack,,
Alpha,,0,90,28,2,62,175,,0,48,33,0,15,Beta,Grappled,,,22,494,459,,,repeat,Grapple,,
Alpha,,0,42,27,0,15,175,,19,89,33,1,56,Beta,Prone,,,23,494,440,,,repeat,Trip,,
Alpha,,0,35,27,0,8,175,2,0,32,34,0,0,Beta,Disarm,,,24,494,440,,,defender-wins,Disarm,,
Alpha,,0,51,28,0,23,175,,0,67,34,0,33,Beta,Equipment Damage,,,25,494,440,,,repeat,Equipment Damage,,
Beta,,0,28,27,0,1,175,0,0,30,30,0,0,Alpha,Inflict Injury,,,26,440,494,,,defender-wins,Attack,,
Beta,,0,73,27,1,46,175,19,0,11,30,0,0,Alpha,Grappled,,,27,440,494,,,defender-wins,Grapple,,
Beta,,0,48,26,0,22,175,21,0,9,30,0,0,Alpha,Prone,,,28,440,494,,,defender-wins,Trip,,
Beta,22,0,4,26,0,0,175,,0,53,30,0,23,Alpha,Disarm,,2,29,440,472,22,40,attacker-wins,Disarm,fail-and-fall-back,Torso
Beta,,0,47,27,0,20,175,23,0,7,30,0,0,Alpha,Equipment Damage,,,30,440,472,,,defender-wins,Equipment Damage,,
Alpha,,0,43,27,0,16,175,,0,100,34,1,66,Beta,Inflict Injury,,,31,472,440,,,repeat,Attack,,
Alpha,,0,52,30,0,22,175,,0,38,35,0,3,Beta,Grappled,,,32,472,440,,,repeat,Grapple,,
Alpha,,0,56,27,1,29,175,,16,79,35,1,44,Beta,Prone,,,33,472,424,,,repeat,Trip,,
Alpha,,0,48,27,0,21,175,13,0,23,36,0,0,Beta,Disarm,,,34,472,424,,,defender-wins,Disarm,,
Alpha,20,0,8,28,0,0,175,,23,100,36,1,64,Beta,Equipment Damage,,2,35,472,381,20,80,attacker-wins,Equipment Damage,fail-and-fall-back,Head
Beta,,0,40,27,0,13,175,,0,99,30,2,69,Alpha,Inflict Injury,,,36,381,472,,,repeat,Attack,,
Beta,,0,48,28,0,20,175,,0,95,32,1,63,Alpha,Grappled,,,37,381,472,,,repeat,Grapple,,
Beta,,0,46,26,0,20,175,,27,83,33,1,50,Alpha,Prone,,,38,381,445,,,repeat,Trip,,
